,Name,Place,Number of Review(s),Date,Stars,Title,Review
0,Al,GB,5 reviews,"Thursday, March 3, 2022, 03:58:42 AM",1,GUESTS BEWARE,"GUESTS BEWARE, if you have any problems don’t expect Airbnb to help you - Airbnb have taken no action in response to my serious (and proven in writing) allegations against a host. They are allowing a proven conman to continue operating on their platform, and not taking steps to protect future guests from him or other unscrupulous hosts who choose to abuse Airbnb community standards, knowing they can get away with it. It’s totally irresponsible of the company to allow this man to continue hosting on the platform, and also to not take action when a community member repeatedly breaches Airbnb’s own standards. Why have the standards if you won’t enforce them? Furthermore it would only take a small amendment to their policy (to withhold money from hosts when there is any kind of change or query outstanding on the booking) to much improve the service for future guests. I have already repeatedly contacted customer services, the CEO & the BBB, but Airbnb refuse to address any of the issues. Absolutely terrible service!"
1,Anne,GB,12 reviews,"Wednesday, March 2, 2022, 05:08:22 PM",1,It's all good until it's not!,I've used Airbnb on a few occasions and always been happy however on this occasion due to storm Eunice and advice not to travel we were forced to cancel. This is where we ran into problems as host did not reply through Airbnb. The customer service is A JOKE passed around from one person to another and told it is the host's decision whether or not to cancel and if no response then automatically lose your money. Literally there is no policing of their site. Fortunately I managed to contact the host through a different means (Airbnb still saying unable to) and they immediately agreed to refund. Airbnb refused to accept the hosts emails as proof he was refunding as they 'could not be verified' fortunately he had by now released the money through Airbnb. Laughably their 'customer service' were still refusing to help me with passive aggressive emails even after I had been notified my money had been refunded.. basically you are better booking directly with your accomodation and giving these scammers a wide berth
2,Charlene Willey,GB,8 reviews,"Wednesday, March 2, 2022, 03:47:08 PM",1,Terrible customer service they just…,"Terrible customer service they just don't do anything and the online chat is useless. You just get passed on to someone who is suppose to have experience to help, Must be a imaginary person because 3 times now this person never got back to me I have 3 chats with no resolve they just go dead on you. What's the point of Air bnb exactly just a useless middleman that dies jack S nothing. Guest get no help, I had a hostile host and left 2 days early a loss to me but I don't think I will get any help."
3,Oliver Stanley,GB,6 reviews,"Wednesday, March 2, 2022, 12:52:58 PM",1,Wont post negative reviews,"This company does not post negative reviews about their hosts. I genuinely have written two thoughtful reviews about two stays I had in London and they contained negative aswell as positive aspects to the accommodation that I thought would be helpful to future guests.However, Airbnb refuses to post them. I have spoken with their support team at length, and they cannot tell me why they wont post them just that they dont fit their requirements. Utterly ridiculous and bad practice. The whole point of having a ratings system is the paying customer can decide if they want to stay in a place or not. I wont be using Airbnb again there are loads of other websites that use a fair rating system."
4,Lorinda Gunter,AU,2 reviews,"Wednesday, March 2, 2022, 07:27:04 AM",1,AWFUL DONT USE,AWFUL DONT USE I booked a birthday place for me and my friends and I paid for it because it was pending the amount! I paid 360 for the place and then end up getting a email saying they cannot accommodate me! Sends me the refund but won’t process until 15 days later! Why even let me pay if it was going to reject me what an awful experience my birthday is a few days away and I’m 360 out of pocket ! I’ll be broke on my birthday how depressing. Don’t book through these people they didn’t even care that their website did this absolutely disgusting 🤮
5,The Gifted UK Psychic,GB,1 review,"Tuesday, March 1, 2022, 05:57:49 AM",1,Steer Clear! You will be robbed,"Absolute scam as in other reviews here. We entered a cockroach infested Air b n b in Mount St,Coogee, NSW Australia January 2022 and lost £1400 because it was filthy. We left and tried for refunds for 4 wks from vile Host Margaret and also Air b n b. They even remove reviews unless they are glowing 4 or 5 star reviews. Host then tried to sublet our booking out on local facebook group. Such greed!! Book a hotel. AIR B N B IS A SCAM"
6,Terry Page,GB,4 reviews,"Tuesday, March 1, 2022, 04:25:41 AM",1,They made me and my family vulnerable!,"We booked a 3 bedroom apartment near to Disneyland for my 4 year old nephews birthday. We received instructions regarding access to the property days before and even up until the day before. When we arrived at 1am, the code didn’t work. We contacted the owner who eventually told us that they no longer had access to the property and offered a one bed room apartment 14 minutes away instead.We reported it to Airbnb and explained we had a 4 year old completely homeless at now 2am at zero degrees! They didn’t care.The said they would refund the trip and pay for the hotel. They didn’t.I can never take the risk of booking with Airbnb again because when it all went wrong. They left me and my family very vulnerable!"
7,Kristina VL,CA,1 review,"Tuesday, March 1, 2022, 01:21:16 AM",1,Their customer help is ridiculous,Their customer help is ridiculous! If you run into trouble as a customer they will leave you hanging with no help. I was left with kids waiting for my picture approval!!! With no accommodation !!! Had three agents and manager later email with no help or solution !!!Make sure you don’t run into troubles before booking as they won’t help you with anything.Terrible and worst customer service ever!
8,Katie Bean,US,1 review,"Monday, February 28, 2022, 11:34:43 PM",1,I never even found it - AirBnB didn't care.,"I have used AirBnB several times and have always been pleasantly surprised. From the quirky stays to the lavish unexpected, I have always been happy with my experiences - until now. I booked a place in Dallas for two nights that I NEVER found. I tried reaching out to the host and the co-host with no response. I called AirBnB for help, and they were not helpful either. It was late at night, in a dilapidated part of town, nothing was marked, and the check in direction sent to me by the host directed me to parking nowhere near where the building supposedly was (and did not match the listing). I tried reaching out to host and cohost for about 30 min with no response before I contacted support. They said I had to wait for a response from the host. The host finally contacted me almost 2 hours later with a response to my message of ""I can't find it"" with ""the address is listed."" I received nothing from the cohost until the next day and she never responded again when I told her I never found it. I contacted AirBnB again for a refund, and I was told I wasn't eligible for one. It didn't matter that I never found the place, had no helpful responses from the host(s), nor that the check-in directions did not match the listing. I contacted them repeatedly for a refund and was told ""no"" every time. According to them, they can find it on Google maps so that is good enough. They ignored everything else about the stay and host(s). All the good experiences I have had with AirBnB are now completely over-shadowed by this experience. I don't want to give any more money to a company that doesn't care about people enough to listen to them, and I won't."
9,Lesley Group Leader,GB,2 reviews,"Monday, February 28, 2022, 10:44:04 PM",1,Dreadful experience,Dreadful experience. my 'superhost' cancelled my reservation after he confirmed availability and I had booked flights. I contacted airbnb customer service via chat line. They answered then told me they were passing me to another members of team who would be able to help me. 15 minutes later I had heard nothing. I gave up.
